team,season,games,avg_pregame_elo,actual_points,expected_points,eva_total,eva_per_game,eva_plus_total,eva_plus_per_game,expected_wins,actual_wins,playoff_games,playoff_eva_total,playoff_eva_per_game,reg_eva_plus_per_game
Boston Bruins,1940,54.0,1599.4275415312413,71.0,72.39378274010274,-1.3937827401027294,-0.025810791483383878,2.7962587203883293,0.051782568896080176,33.89834174585035,33.0,6.0,-2.6205105128153052,-0.4367517521358842,0.11284935902507576
Boston Bruins,1941,59.0,1585.8287921012413,85.0,77.61495234428223,7.385047655717766,0.12517029924945366,11.17554329359854,0.18941598802709392,36.1860128126646,35.0,11.0,3.368778255877792,0.3062525687161629,0.16264093828584894
Boston Bruins,1942,53.0,1587.0931148212428,62.0,71.30623240092041,-9.30623240092039,-0.17558929058340358,-6.032017029285009,-0.1138116420619813,33.415576302113934,27.0,5.0,-2.5991041754663184,-0.5198208350932637,-0.07151901778788937
Boston Bruins,1943,59.0,1547.6343728135853,65.0,71.26593701390745,-6.265937013907456,-0.1062023222696179,-0.6263053466161222,-0.010615344857900376,32.530751965644065,28.0,9.0,-1.985105701269292,-0.22056730014103246,0.027176007093063403
Boston Bruins,1944,50.0,1513.9611031176055,43.0,56.1143903111353,-13.114390311135308,-0.26228780622270614,-7.503712158021239,-0.15007424316042478,25.16353319734427,19.0,0.0,0.0,,-0.15007424316042478
Boston Bruins,1945,57.0,1474.6119335496905,43.0,56.5297770676276,-13.529777067627595,-0.23736450995837888,-7.575631670084591,-0.13290581877341387,24.575557895340022,19.0,7.0,2.237393086488052,0.3196275837840074,-0.19626049513145283
Boston Bruins,1946,60.0,1498.5289039438348,68.0,63.45275295693194,4.547247043068067,0.07578745071780112,10.695163270737527,0.1782527211789588,28.053861114888118,29.0,10.0,3.3101761322779883,0.3310176132277988,0.1476997427691908
Boston Bruins,1947,65.0,1508.1397330062885,67.0,71.45480986404709,-4.4548098640470934,-0.06853553636995528,2.3984766516246077,0.03689964079422473,31.873715281919395,27.0,5.0,0.23102504494219323,0.04620500898843864,0.0361241934447069
Boston Bruins,1948,65.0,1510.0048366719784,62.0,71.92142077676152,-9.921420776761526,-0.1526372427194081,-2.5386968839365656,-0.039056875137485625,32.12743385895213,24.0,5.0,-0.8225561730836854,-0.16451123461673708,-0.028602345180881346
Boston Bruins,1949,65.0,1514.3996069968375,68.0,73.95168733658868,-5.951687336588673,-0.09156442056290266,0.9836982627217744,0.015133819426488837,33.25334916214309,30.0,5.0,-2.990947356724235,-0.598189471344847,0.0662440936574335
Boston Bruins,1950,70.0,1490.611187807261,60.0,74.84162462844827,-14.841624628448278,-0.21202320897783253,-7.596430758145912,-0.10852043940208446,33.09707238510796,22.0,0.0,0.0,,-0.10852043940208446
Boston Bruins,1951,76.0,1478.9927353242656,65.0,77.49523680321725,-12.495236803217242,-0.16441101056864793,-4.899535442759138,-0.06446757161525181,33.891683797130426,23.0,6.0,-1.3600773611528036,-0.22667956019213395,-0.0505636868800905
Boston Bruins,1952,77.0,1478.3192525016398,73.0,79.02737292899755,-6.027372928997544,-0.07827757050646161,2.6097788858546,0.03389323228382597,34.64277697388918,28.0,7.0,1.3366275466062403,0.19094679237232004,0.01818787627497657
Boston Bruins,1953,81.0,1492.5628260100057,80.0,85.20131414883586,-5.201314148835864,-0.06421375492389955,3.6022991201066175,0.04447282864329157,37.582208536656374,33.0,11.0,2.3248587845748063,0.21135079859770967,0.018249147650454402
Boston Bruins,1954,74.0,1498.6952205514935,74.0,80.79959741600997,-6.799597416009986,-0.09188645156770252,1.2554898221908384,0.016966078678254573,35.97164380810028,32.0,4.0,-3.450103249972072,-0.862525812493018,0.06722275817375586
