season,date,playoff,neutral,status,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating
2003,2003-04-25,1,0,post,OT,Vancouver Canucks,Minnesota Wild,VAN,MIN,1563.53468657773,1513.92065347395,0.671897686707149,0.328102313292851,0.221955928277025,1.41661962693105,0.805336301345973,4,3,1565.02830429364,1512.42703575803,86,,
2003,2003-04-25,1,0,post,,Ottawa Senators,Philadelphia Flyers,OTT,PHI,1592.72029432348,1558.51946268257,0.646998960629281,0.353001039370719,0.225241052721942,1.37350824697836,0.85173280574358,4,2,1595.27525408195,1555.96450292411,100,,
2003,2003-04-26,1,0,post,OT,New Jersey Devils,Tampa Bay Lightning,NJD,TBL,1566.44273679711,1489.89032185627,0.713126572297944,0.286873427702056,0.216296954463149,1.48830299332425,0.727993961138901,3,2,1567.72875424522,1488.60430440816,75,,
2003,2003-04-26,1,0,post,OT,Dallas Stars,Anaheim Ducks,DAL,ANA,1577.42665946631,1518.89598827943,0.685882875848427,0.314117124151573,0.220071160790448,1.44089387183305,0.779177288957399,2,3,1573.87995727876,1522.44269046699,92,,
2003,2003-04-27,1,0,post,,Vancouver Canucks,Minnesota Wild,VAN,MIN,1565.02830429364,1512.42703575803,0.676618634680978,0.323381365319022,0.221323214618099,1.42480907268195,0.796514141936147,2,3,1561.54300159767,1515.91233845401,86,,
2003,2003-04-27,1,0,post,,Ottawa Senators,Philadelphia Flyers,OTT,PHI,1595.27525408195,1555.96450292411,0.655350559827449,0.344649440172551,0.224148131758766,1.38795364778128,0.836194483977486,0,2,1590.0011969598,1561.23856004626,100,,
2003,2003-04-28,1,0,post,,Anaheim Ducks,Dallas Stars,ANA,DAL,1522.44269046699,1573.87995727876,0.497414531532234,0.502585468467766,0.243466436407382,1.11719175606245,1.12627468034493,1,2,1520.04287832977,1576.27976941597,93,,
2003,2003-04-28,1,0,post,,Tampa Bay Lightning,New Jersey Devils,TBL,NJD,1488.60430440816,1567.72875424522,0.447799093172301,0.552200906827699,0.237259978923571,1.02661336186012,1.21064661706345,4,3,1491.31898158564,1565.01407706774,75,,
2003,2003-04-29,1,0,post,,Minnesota Wild,Vancouver Canucks,MIN,VAN,1515.91233845401,1561.54300159767,0.507859329113092,0.492140670886908,0.242803990782015,1.13521237714366,1.10759161363835,2,3,1513.45343624507,1564.00190380661,86,,
2003,2003-04-29,1,0,post,OT,Philadelphia Flyers,Ottawa Senators,PHI,OTT,1561.23856004626,1590.0011969598,0.538129605053523,0.461870394946477,0.239016812100082,1.18665399951056,1.05236281258952,2,3,1558.60594851242,1592.63380849364,100,,
2003,2003-04-30,1,0,post,,Anaheim Ducks,Dallas Stars,ANA,DAL,1520.04287832977,1576.27976941597,0.488782372944322,0.511217627055678,0.242382691155865,1.10147505010071,1.14090764105515,1,0,1522.52086976504,1573.80177798071,92,,
2003,2003-04-30,1,0,post,,Tampa Bay Lightning,New Jersey Devils,TBL,NJD,1491.31898158564,1565.01407706774,0.457477981101017,0.542522018898983,0.23846840149823,1.04433032082647,1.19413808067176,1,3,1487.88741531946,1568.44564333392,75,,
2003,2003-05-01,1,0,post,,Philadelphia Flyers,Ottawa Senators,PHI,OTT,1558.60594851242,1592.63380849364,0.528700612141039,0.471299387858961,0.240194586280678,1.1706047857632,1.06958980051748,1,0,1560.85980840759,1590.37994859847,100,,
2003,2003-05-02,1,0,post,OT,Minnesota Wild,Vancouver Canucks,MIN,VAN,1513.45343624507,1564.00190380661,0.499013365943723,0.500986634056277,0.243667485663249,1.12010088535883,1.12356660030442,2,3,1511.04460609214,1566.41073395954,86,,
2003,2003-05-02,1,0,post,3OT,New Jersey Devils,Tampa Bay Lightning,NJD,TBL,1568.44564333392,1487.88741531946,0.718986923667412,0.281013076332588,0.215464431650905,1.4985221701133,0.716942261537607,2,1,1569.70253944233,1486.63051921104,75,,
2003,2003-05-03,1,0,post,,Dallas Stars,Anaheim Ducks,DAL,ANA,1573.80177798071,1522.52086976504,0.674536335108303,0.325463664891697,0.221602715220249,1.42119630206214,0.80040641315811,4,1,1576.63291649582,1519.68973124992,93,,
2003,2003-05-03,1,0,post,,Ottawa Senators,Philadelphia Flyers,OTT,PHI,1590.37994859847,1560.85980840759,0.639269137559355,0.360730862440645,0.226245481586485,1.3601520028147,0.866093478771784,5,2,1593.55757971053,1557.68217729553,100,,
2003,2003-05-05,1,0,post,,Anaheim Ducks,Dallas Stars,ANA,DAL,1519.68973124992,1576.63291649582,0.487512538837126,0.512487461162874,0.242223488607862,1.09916157838491,1.14306191022295,4,3,1522.17495225716,1574.14769548858,92,,
2003,2003-05-05,1,0,post,,Philadelphia Flyers,Ottawa Senators,PHI,OTT,1557.68217729553,1593.55757971053,0.525386813166261,0.474613186833739,0.240608801251495,1.16496973627474,1.07563906497675,1,5,1552.17595492531,1599.06380208075,100,,
2003,2003-05-05,1,0,post,,Vancouver Canucks,Minnesota Wild,VAN,MIN,1566.41073395954,1511.04460609214,0.680956340336401,0.319043659663599,0.220738752830412,1.4323379802054,0.788400772625016,2,7,1558.19836581593,1519.25697423575,86,,
2003,2003-05-07,1,0,post,,Minnesota Wild,Vancouver Canucks,MIN,VAN,1519.25697423575,1558.19836581593,0.519882780845306,0.480117219154694,0.241297265470903,1.15561653377813,1.08568073169277,5,1,1524.21200814914,1553.24333190254,86,,
2003,2003-05-08,1,0,post,,Vancouver Canucks,Minnesota Wild,VAN,MIN,1553.24333190254,1524.21200814914,0.638457633129014,0.361542366870986,0.226350559200094,1.3587505831738,0.867599976026293,2,4,1548.13905971001,1529.31628034167,86,,
2003,2003-05-10,1,0,post,OT,Ottawa Senators,New Jersey Devils,OTT,NJD,1599.06380208075,1569.70253944233,0.639005465328428,0.360994534671572,0.226279630649068,1.35969664062867,0.866582990020397,3,2,1600.7265122586,1568.03982926448,100,,
2003,2003-05-10,1,0,post,2OT,Minnesota Wild,Anaheim Ducks,MIN,ANA,1529.31628034167,1522.17495225716,0.601367168774945,0.398632831225055,0.231091460053089,1.29485498054278,0.936236479510304,0,1,1526.30756818612,1525.18366441271,74,,
2003,2003-05-12,1,0,post,,Minnesota Wild,Anaheim Ducks,MIN,ANA,1526.30756818612,1525.18366441271,0.590943242477464,0.409056757522536,0.232406808564595,1.27695406049252,0.955452748072073,0,2,1521.66613963138,1529.82509296746,74,,
2003,2003-05-13,1,0,post,,Ottawa Senators,New Jersey Devils,OTT,NJD,1600.7265122586,1568.03982926448,0.644506630302526,0.355493369697474,0.225565627196746,1.36920034550515,0.856365281691599,1,4,1594.4577927502,1574.30854877288,100,,
2003,2003-05-14,1,0,post,,Anaheim Ducks,Minnesota Wild,ANA,MIN,1529.82509296746,1521.66613963138,0.603121219663528,0.396878780336472,0.230869532892673,1.29786965795835,0.932999874934321,4,0,1533.80746087362,1517.68377172521,74,,
