season,date,playoff,neutral,team,abbr,pregame_elo,win_prob,actual_points,expected_points,eva,eva_plus,win_flag,is_home
2015,2015-01-06,0,0,Vancouver Canucks,VAN,1507.4871676008,0.563070798439907,2.0,1.2292140612685,0.7707859387314999,0.7638016050434496,1,1
2015,2015-01-06,0,0,Philadelphia Flyers,PHI,1487.90745945533,0.571799307805566,2.0,1.24414442274406,0.7558555772559401,0.7488712435678898,1,1
2015,2015-01-06,0,0,Nashville Predators,NSH,1536.48897135732,0.683951661009316,2.0,1.43753931169382,0.56246068830618,0.5554763546181297,1,1
2015,2015-01-06,0,0,New Jersey Devils,NJD,1458.14233428401,0.643268326791036,2.0,1.36706049309445,0.6329395069055499,0.6259551732174996,1,1
2015,2015-01-06,0,0,Montreal Canadiens,MTL,1559.75319362765,0.612300998280645,0.0,1.31365835979861,-1.31365835979861,-1.3206426934866602,0,1
2015,2015-01-06,0,0,Chicago Blackhawks,CHI,1579.18963974696,0.689515853420885,0.0,1.44720662337757,-1.44720662337757,-1.4541909570656202,0,1
2015,2015-01-06,0,0,Arizona Coyotes,ARI,1459.56754983136,0.444233230251495,0.0,1.02008017233879,-1.02008017233879,-1.0270645060268402,0,1
2015,2015-01-06,0,0,Edmonton Oilers,EDM,1405.96083296241,0.425566239697887,0.0,0.98582573556316,-0.98582573556316,-0.9928100692512103,0,1
2015,2015-01-06,0,0,Minnesota Wild,MIN,1502.47773295893,0.529034462841846,1.0,1.17117264925648,-0.17117264925648001,-0.17815698294453028,0,1
2015,2015-01-07,0,0,Calgary Flames,CGY,1494.78281230369,0.548139691204629,0.0,1.20371687981132,-1.20371687981132,-1.2107012134993702,0,1
2015,2015-01-07,0,0,Pittsburgh Penguins,PIT,1550.1177636159,0.589125558291258,1.0,1.27383514483718,-0.2738351448371801,-0.28081947852523037,0,1
2015,2015-01-07,0,0,Toronto Maple Leafs,TOR,1498.10251660145,0.538637366070895,0.0,1.18751890737776,-1.18751890737776,-1.19450324106581,0,1
2015,2015-01-07,0,0,Anaheim Ducks,ANA,1544.01556185833,0.562684356906132,0.0,1.22855346653199,-1.22855346653199,-1.2355378002200401,0,1
2015,2015-01-08,0,0,Minnesota Wild,MIN,1499.89771129224,0.465996411059906,0.0,1.05990380895382,-1.05990380895382,-1.0668881426418702,0,1
2015,2015-01-08,0,0,Los Angeles Kings,LAK,1541.91300868413,0.552157403260207,0.0,1.21057236443009,-1.21057236443009,-1.2175566981181403,0,1
2015,2015-01-08,0,0,Colorado Avalanche,COL,1496.21499618534,0.586286773277142,2.0,1.26896569083741,0.7310343091625899,0.7240499754745396,1,1
2015,2015-01-08,0,0,Carolina Hurricanes,CAR,1450.94778635724,0.637892040408403,2.0,1.35777392467946,0.64222607532054,0.6352417416324897,1,1
2015,2015-01-08,0,0,Arizona Coyotes,ARI,1454.32880746067,0.506977611400746,2.0,1.1337175929767,0.8662824070233,0.8592980733352497,1,1
2015,2015-01-08,0,0,Vancouver Canucks,VAN,1509.55261846936,0.649138457191839,0.0,1.37720738035334,-1.37720738035334,-1.3841917140413902,0,1
2015,2015-01-08,0,0,St. Louis Blues,STL,1553.71890571345,0.597818750266789,2.0,1.28875849513752,0.7112415048624801,0.7042571711744298,1,1
2015,2015-01-08,0,0,Philadelphia Flyers,PHI,1489.92569489467,0.518777252989417,2.0,1.15373882427588,0.8462611757241201,0.8392768420360698,1,1
2015,2015-01-08,0,0,Nashville Predators,NSH,1537.92139780465,0.629636620707443,2.0,1.34352665885029,0.6564733411497099,0.6494890074616596,1,1
2015,2015-01-08,0,0,Boston Bruins,BOS,1540.45264322551,0.67777725022856,2.0,1.42681966841355,0.5731803315864501,0.5661959978983998,1,1
2015,2015-01-09,0,0,Calgary Flames,CGY,1492.09191012142,0.618867459272875,0.0,1.32496404252723,-1.32496404252723,-1.3319483762152802,0,1
2015,2015-01-09,0,0,Toronto Maple Leafs,TOR,1492.43162522734,0.569217774982271,2.0,1.23972673249488,0.76027326750512,0.7532889338170697,1,1
2015,2015-01-09,0,0,Tampa Bay Lightning,TBL,1535.21204393741,0.744532502429904,2.0,1.5431557338321,0.45684426616789997,0.4498599324798497,1,1
2015,2015-01-09,0,0,New Jersey Devils,NJD,1458.48068868183,0.495855075437477,1.0,1.11435370895643,-0.11435370895642993,-0.1213380426444802,0,1
2015,2015-01-09,0,0,Edmonton Oilers,EDM,1402.80279129469,0.328422794768739,2.0,0.805934893802047,1.194065106197953,1.1870807725099028,1,1
2015,2015-01-10,0,0,St. Louis Blues,STL,1558.11011037475,0.708131914338662,2.0,1.47959929269969,0.5204007073003101,0.5134163736122598,1,1
2015,2015-01-10,0,0,Arizona Coyotes,ARI,1458.87161373955,0.538681246008327,0.0,1.18759365446098,-1.18759365446098,-1.1945779881490302,0,1
2015,2015-01-10,0,0,Columbus Blue Jackets,CBJ,1490.1364371236,0.537897478818062,0.0,1.18625862297772,-1.18625862297772,-1.19324295666577,0,1
2015,2015-01-10,0,0,Colorado Avalanche,COL,1499.9264006149,0.579761241237628,2.0,1.25777940807696,0.74222059192304,0.7352362582349897,1,1
2015,2015-01-10,0,0,Los Angeles Kings,LAK,1539.19858657406,0.632419936054896,1.0,1.34832843077054,-0.3483284307705401,-0.3553127644585904,0,1
2015,2015-01-10,0,0,Minnesota Wild,MIN,1496.39221112014,0.509726278816441,0.0,1.13837812344153,-1.13837812344153,-1.1453624571295802,0,1
2015,2015-01-10,0,0,Montreal Canadiens,MTL,1554.90622941809,0.58231388136272,1.0,1.2621540362133,-0.2621540362132999,-0.2691383699013502,0,1
2015,2015-01-10,0,0,Philadelphia Flyers,PHI,1492.23471997462,0.498535613922957,0.0,1.11923166225722,-1.11923166225722,-1.1262159959452702,0,1
2015,2015-01-10,0,0,Washington Capitals,WSH,1524.56275890967,0.58639789770426,2.0,1.26915627052489,0.73084372947511,0.7238593957870597,1,1
2015,2015-01-10,0,0,Vancouver Canucks,VAN,1504.3413457579,0.59297460669085,0.0,1.28044053300806,-1.28044053300806,-1.2874248666961101,0,1
2015,2015-01-10,0,0,San Jose Sharks,SJS,1530.46861583969,0.531928156889546,0.0,1.17609587824501,-1.17609587824501,-1.1830802119330601,0,1
2015,2015-01-11,0,0,Edmonton Oilers,EDM,1409.40572437621,0.497706152771213,0.0,1.1177224139524,-1.1177224139524,-1.1247067476404502,0,1
2015,2015-01-11,0,0,Chicago Blackhawks,CHI,1570.46491995562,0.676256636572964,2.0,1.42418094155054,0.57581905844946,0.5688347247614097,1,1
2015,2015-01-11,0,0,Anaheim Ducks,ANA,1538.70518354094,0.627462379368996,2.0,1.33977686339714,0.6602231366028599,0.6532388029148096,1,1
2015,2015-01-12,0,0,Washington Capitals,WSH,1527.61960604098,0.607273738715159,2.0,1.30500937670757,0.6949906232924301,0.6880062896043798,1,1
2015,2015-01-12,0,0,Philadelphia Flyers,PHI,1488.44303059047,0.503021976567389,2.0,1.12701415170092,0.87298584829908,0.8660015146110297,1,1
2015,2015-01-12,0,0,Los Angeles Kings,LAK,1535.99757066343,0.626266725502168,2.0,1.33771523477626,0.66228476522374,0.6553004315356897,1,1
2015,2015-01-13,0,0,Carolina Hurricanes,CAR,1452.82817430358,0.503965023681918,2.0,1.12861190776766,0.87138809223234,0.8644037585442897,1,1
2015,2015-01-13,0,0,Winnipeg Jets,WPG,1496.41536319788,0.615361982965841,2.0,1.31892734035768,0.68107265964232,0.6740883259542697,1,1
2015,2015-01-13,0,0,St. Louis Blues,STL,1559.42102318812,0.763716608889799,2.0,1.57676914071189,0.42323085928811,0.4162465256000597,1,1
2015,2015-01-13,0,0,Pittsburgh Penguins,PIT,1550.0767356931,0.653726187305153,2.0,1.38514284012503,0.6148571598749699,0.6078728261869196,1,1
2015,2015-01-13,0,0,New York Rangers,NYR,1562.34444622144,0.631480362327756,0.0,1.34670728633793,-1.34670728633793,-1.35369162002598,0,1
2015,2015-01-13,0,0,Nashville Predators,NSH,1543.52440518221,0.629577481874138,2.0,1.34342465136093,0.65657534863907,0.6495910149510197,1,1
2015,2015-01-13,0,0,Dallas Stars,DAL,1492.04978895979,0.577709155989529,2.0,1.25426372894301,0.7457362710569899,0.7387519373689396,1,1
2015,2015-01-13,0,0,Buffalo Sabres,BUF,1398.26176418634,0.410873346759697,0.0,0.958798453378427,-0.958798453378427,-0.9657827870664772,0,1
2015,2015-01-13,0,0,Boston Bruins,BOS,1547.04397193644,0.593659879888024,2.0,1.28161689762397,0.7183831023760301,0.7113987686879798,1,1
2015,2015-01-13,0,0,Arizona Coyotes,ARI,1453.20017439737,0.46669582671475,0.0,1.06118169699856,-1.06118169699856,-1.06816603068661,0,1
2015,2015-01-14,0,0,Los Angeles Kings,LAK,1538.72227309457,0.682111984573276,0.0,1.43434450896097,-1.43434450896097,-1.4413288426490203,0,1
2015,2015-01-14,0,0,Columbus Blue Jackets,CBJ,1485.10364533628,0.475684846127307,0.0,1.07759478954195,-1.07759478954195,-1.0845791232300002,0,1
2015,2015-01-14,0,0,Anaheim Ducks,ANA,1540.42798164529,0.63585586133694,2.0,1.35425846355789,0.64574153644211,0.6387572027540597,1,1
2015,2015-01-14,0,0,Washington Capitals,WSH,1529.44845318497,0.621089577216255,2.0,1.32879213688806,0.67120786311194,0.6642235294238897,1,1
2015,2015-01-15,0,0,Arizona Coyotes,ARI,1450.9717867895,0.513004677909614,0.0,1.14393948969342,-1.14393948969342,-1.1509238233814703,0,1
2015,2015-01-15,0,0,St. Louis Blues,STL,1561.05642260265,0.636290756651701,1.0,1.35500923259344,-0.35500923259343997,-0.36199356628149026,0,1
2015,2015-01-15,0,0,Tampa Bay Lightning,TBL,1529.28371298371,0.732842944747199,2.0,1.52271384057157,0.4772861594284299,0.4703018257403796,1,1
2015,2015-01-15,0,0,San Jose Sharks,SJS,1528.60498794153,0.624844119322688,2.0,1.33526269630411,0.6647373036958899,0.6577529700078396,1,1
2015,2015-01-15,0,0,Ottawa Senators,OTT,1485.62434709019,0.47316223279373,2.0,1.07299070695373,0.9270092930462701,0.9200249593582198,1,1
2015,2015-01-15,0,0,Philadelphia Flyers,PHI,1491.84523599307,0.563189679728343,0.0,1.22941728777563,-1.22941728777563,-1.2364016214636802,0,1
